Date,open,high,low,close,volume,sma_20,sma_50,ema_20,rsi,macd,macd_signal
2005-05-17,1161.1,1164.7,1144.4,1150.55,583322,1141.0149999999999,1299.8890000000001,1176.0928490277638,38.91914859916576,-39.88643534810217,-50.505830111663855
2005-05-18,1154.0,1154.0,1123.0,1142.7,573528,1142.34,1294.739,1172.9125776917863,37.53309488025783,-37.8975018464223,-47.984164458615545
2005-05-19,1153.45,1172.0,1153.2,1162.5,457431,1143.345,1289.71,1171.920903625902,43.04299923988819,-34.327853070503124,-45.25290218099306
2005-05-20,1165.0,1174.7,1147.2,1169.65,408202,1143.4900000000002,1284.953,1171.7046270901017,44.93194439287333,-30.56954872389406,-42.31623148957327
2005-05-23,1170.0,1234.9,1170.0,1223.8,1295252,1146.8325,1281.4379999999999,1176.6660911767585,56.656009698728106,-22.9569792361076,-38.44438103888014
2005-05-24,1244.7,1244.7,1205.25,1234.85,766107,1151.74,1277.586,1182.2074158265912,58.59331236917272,-15.849615913926073,-33.925428013889324
2005-05-25,1229.7,1269.4,1215.0,1260.55,986809,1158.985,1273.76,1189.6686143192967,62.7620958999033,-8.05040401291285,-28.75042321369403
2005-05-26,1258.0,1296.0,1251.15,1290.05,1222762,1167.7475,1270.708,1199.2287462888874,66.88359842837396,0.5051084908773191,-22.89931687277976
2005-05-27,1283.0,1299.0,1255.25,1269.2,920435,1174.6525,1267.051,1205.8926752137552,61.6868503462979,5.539141267454852,-17.211625244732836
2005-05-30,1269.2,1333.05,1264.0,1319.1,2236648,1184.1625,1264.214,1216.6743251933974,68.07925454938342,13.400686704745567,-11.089162854837156
2005-05-31,1320.0,1342.9,1305.55,1334.25,1295696,1195.4450000000002,1261.525,1227.872008508312,69.73052435895237,20.615849805702737,-4.748160322729177
2005-06-01,1330.0,1330.0,1297.55,1304.5,941261,1204.6275,1258.4859999999999,1235.1699124599013,62.85445710323751,23.66059753658692,0.9335912491340426
2005-06-02,1308.0,1309.0,1265.1,1268.55,1384578,1211.2125,1254.986,1238.3489684161011,55.70594963689924,22.908640943557884,5.328601188018811
2005-06-03,1268.55,1296.7,1261.05,1293.15,818566,1217.4950000000001,1252.424,1243.5681142812343,59.13119822649156,24.020827191828175,9.067046388780685
2005-06-04,1290.0,1293.85,1278.0,1281.6,169770,1222.8125,1250.369,1247.1901986354026,56.906159676848944,23.697089042275366,11.993054919479622
2005-06-06,1295.0,1301.7,1270.3,1280.4,724064,1229.2075,1248.1290000000001,1250.3530368606023,56.66757670362588,23.077669249408927,14.209977785465483
2005-06-07,1288.8,1288.8,1269.05,1277.65,462274,1235.635,1246.2640000000001,1252.9527476357832,56.08723956325308,22.110002240759513,15.78998267652429
2005-06-08,1280.0,1296.0,1276.1,1292.1,604064,1242.9025000000001,1244.295,1256.6810573847563,58.49265720910072,22.25259928821947,17.082505998863326
2005-06-09,1294.0,1299.0,1271.35,1277.3,449792,1249.3375,1241.2,1258.6447662052556,55.159913754172855,20.93010296599323,17.852025392289306
2005-06-10,1280.0,1300.0,1261.1,1266.15,830328,1254.9299999999998,1237.504,1259.3595503761835,52.722687173821136,18.765980742414285,18.034816462314303
2005-06-13,1275.0,1283.0,1260.2,1271.65,323754,1260.9850000000001,1234.382,1260.5300693879756,53.8069180524826,17.295332496106994,17.886919669072842
2005-06-14,1277.0,1279.9,1260.2,1266.05,431548,1267.1525,1231.1940000000002,1261.0557770653113,52.487048055026094,15.499293756167162,17.409394486491706
2005-06-15,1269.75,1277.9,1266.3,1272.15,348884,1272.635,1227.81,1262.1123697257578,53.816005349009025,14.40212045557405,16.807939680308177
2005-06-16,1277.8,1287.9,1264.85,1277.7,574194,1278.0375,1224.86,1263.5969059423524,55.04796421610656,13.821120058179986,16.210575755882537
2005-06-17,1282.7,1286.45,1263.1,1267.65,383499,1280.23,1222.342,1263.9829149002237,52.3260142927924,12.406705273233683,15.449801659352769
2005-06-20,1275.0,1301.95,1270.3,1295.9,801584,1283.2825,1220.9879999999998,1267.0226372906786,58.53297282155911,13.410719840318734,15.041985295545961
2005-06-21,1300.0,1312.4,1283.3,1305.1,1307943,1285.51,1219.45,1270.6490527868045,60.343742311232056,14.778415357660833,14.989271307968938
2005-06-22,1309.0,1339.0,1309.0,1333.35,1442172,1287.675,1218.085,1276.6205715690137,65.34763971101046,17.93511793839707,15.578440634054566
2005-06-23,1330.0,1337.75,1305.0,1307.4,459618,1289.585,1217.853,1279.551945705298,58.09584747425613,18.133843687539184,16.08952124475149
2005-06-24,1300.0,1338.3,1295.0,1325.75,752665,1289.9175,1217.995,1283.9517604000316,61.36114726022102,19.54670467404617,16.780957930610427
2005-06-27,1319.7,1333.0,1308.0,1316.45,443516,1289.0275,1220.15,1287.046830838124,58.85790788069097,19.689012231291827,17.362568790746707
2005-06-28,1318.0,1328.0,1314.05,1323.55,722014,1289.98,1224.297,1290.523323139255,60.193051194211755,20.14251231481694,17.918557495560755
2005-06-29,1325.0,1357.95,1322.15,1332.55,805830,1293.1799999999998,1228.1,1294.5258637926593,61.88171691686043,20.986223066128105,18.532090609674228
2005-06-30,1338.8,1365.0,1338.8,1358.1,898625,1296.4275,1231.927,1300.5805434314536,66.2578509535148,23.446267408994345,19.51492596953825
